City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Palia Kalan,Uttar Pradesh,"Palia Kalan, Uttar Pradesh",28.43595,80.5714465,63.59999924,Exceeding
Palwal,Haryana,"Palwal, Haryana",28.14729,77.3259878,103.9599991,Exceeding
Panagar,Madhya Pradesh,"Panagar, Madhya Pradesh",23.29103,79.996282,53.71999969,Exceeding
Panchkula,Haryana,"Panchkula, Haryana",30.69421,76.860565,47.40000076,Exceeding
Panchla,West Bengal,"Panchla, West Bengal",22.5406,88.1364591,56.42000046,Exceeding
Pandharkaoda,Maharashtra,"Pandharkaoda, Maharashtra",20.02297,78.5490494,43.12000046,Exceeding
Pandhurna,Madhya Pradesh,"Pandhurna, Madhya Pradesh",21.59253,78.5291706,46.96000061,Exceeding
Pandua,West Bengal,"Pandua, West Bengal",23.07807,88.2788636,75.6,Exceeding
Panihati,West Bengal,"Panihati, West Bengal",22.69395,88.4036649,65.64000015,Exceeding
Panipat,Haryana,"Panipat, Haryana",29.39095,76.9635023,92.58000031,Exceeding
Panna,Madhya Pradesh,"Panna, Madhya Pradesh",24.71803,80.1819268,49.61999969,Exceeding
Panvel,Maharashtra,"Panvel, Maharashtra",18.9894,73.1175162,46.67999954,Exceeding
"Paonta Sahib, Himachal Pradesh",Himachal Pradesh,"Paonta Sahib, Himachal Pradesh",30.445283,77.6020569,49.8,Exceeding
Paradip,Odisha,"Paradip, Odisha",20.31655,86.6113628,42.56000061,Exceeding
Parasi,Uttar Pradesh,"Parasi, Uttar Pradesh",24.18355,82.7697705,46.85999985,Exceeding
Partur,Maharashtra,"Partur, Maharashtra",19.58576,76.213349,44.45999985,Exceeding
Pasan,Madhya Pradesh,"Pasan, Madhya Pradesh",23.15973,81.956891,47.74000092,Exceeding
Paschim Punropara,West Bengal,"Paschim Punropara, West Bengal",24.60074,88.0460894,64.86000061,Exceeding
Pathardi,Maharashtra,"Pathardi, Maharashtra",19.17614,75.1749671,41.9,Exceeding
Pathri,Maharashtra,"Pathri, Maharashtra",19.26324,76.4302771,43.08000031,Exceeding
Patratu,Jharkhand,"Patratu, Jharkhand",23.63292,85.3032811,63,Exceeding
Pattamundai,Odisha,"Pattamundai, Odisha",20.58549,86.5661006,45.3,Exceeding
Patti,Punjab,"Patti, Punjab",31.27459,74.8565613,85.90000153,Exceeding
Pattran,Punjab,"Pattran, Punjab",29.95933,76.0565965,82.2,Exceeding
Patur,Maharashtra,"Patur, Maharashtra",20.4628,76.938379,48.93999939,Exceeding
Pauni,Maharashtra,"Pauni, Maharashtra",20.79388,79.6368375,54.41999969,Exceeding
Pehowa,Haryana,"Pehowa, Haryana",29.98069,76.5846091,74.92000122,Exceeding
Petlad,Gujarat,"Petlad, Gujarat",22.48361,72.801351,47.05999908,Exceeding
Phagwara,Punjab,"Phagwara, Punjab",31.22316,75.7670466,73.61999817,Exceeding
Phalodi,Rajasthan,"Phalodi, Rajasthan",27.13123,72.3589284,53.8,Exceeding
Phaltan,Maharashtra,"Phaltan, Maharashtra",17.9935,74.4304276,44.36000061,Exceeding
Phillaur,Punjab,"Phillaur, Punjab",31.01899,75.7879404,79.50000153,Exceeding
Phulera,Rajasthan,"Phulera, Rajasthan",26.87673,75.2454159,66.86000061,Exceeding
Phulpur,Uttar Pradesh,"Phulpur, Uttar Pradesh",25.55104,82.088374,107.7399994,Exceeding
Phusro,Jharkhand,"Phusro, Jharkhand",23.76226,86.0020693,68.6,Exceeding
Pihani,Uttar Pradesh,"Pihani, Uttar Pradesh",27.61998,80.2006713,100.1199997,Exceeding
